teste;name;type;Str;Dex;Int;Faith;Luck;Physical;Magic;Fire;Lightning;Dark
;Crystal Scimitar;Curved Sword;5;80;140.25;0;0;85.5;117;0;0;0
;Fire Scimitar;Curved Sword;0;0;0;0;0;148.5;0;148.5;0;0
;Chaos Scimitar;Curved Sword;6;96;93.5;93.5;0;90;0;117;0;0
;Lightning Scimitar;Curved Sword;5;80;0;140.25;0;85.5;0;0;117;0
;Deep Scimitar;Curved Sword;0;0;0;0;0;148.5;0;0;0;148.5
;Dark Scimitar;Curved Sword;6;96;93.5;93.5;0;90;0;0;0;117
;Poison Scimitar;Curved Sword;7;112;0;0;0;139.5;0;0;0;0
;Blood Scimitar;Curved Sword;7;112;0;0;0;139.5;0;0;0;0
;Raw Scimitar;Curved Sword;0;0;0;0;0;225;0;0;0;0
;Blessed Scimitar;Curved Sword;5.5;88;0;110.5;0;117;0;0;0;0
;Hollow Scimitar;Curved Sword;7;112;0;0;37.5;171;0;0;0;0
;Falchion;Curved Sword;35;63;0;0;0;234;0;0;0;0
;Heavy Falchion;Curved Sword;79.8;0;0;0;0;216.45;0;0;0;0
;Sharp Falchion;Curved Sword;17.6;84;0;0;0;216.45;0;0;0;0
;Refined Falchion;Curved Sword;72;72;0;0;0;210.6;0;0;0;0
;Simple Falchion;Curved Sword;32.5;58.5;98;0;0;112;128.8;0;0;0
;Crystal Falchion;Curved Sword;25;45;115.5;0;0;106.4;145.6;0;0;0
;Fire Falchion;Curved Sword;0;0;0;0;0;184.8;0;184.8;0;0
;Chaos Falchion;Curved Sword;30;54;77;77;0;112;0;145.6;0;0
;Lightning Falchion;Curved Sword;25;45;0;115.5;0;106.4;0;0;145.6;0
;Deep Falchion;Curved Sword;0;0;0;0;0;184.8;0;0;0;184.8
;Dark Falchion;Curved Sword;30;54;77;77;0;112;0;0;0;145.6
;Poison Falchion;Curved Sword;35;63;0;0;0;181.35;0;0;0;0
;Blood Falchion;Curved Sword;35;63;0;0;0;181.35;0;0;0;0
;Raw Falchion;Curved Sword;0;0;0;0;0;292.5;0;0;0;0
;Blessed Falchion;Curved Sword;27.5;49.5;0;91;0;145.6;0;0;0;0
;Hollow Falchion;Curved Sword;35;63;0;0;31.5;222.3;0;0;0;0
;Carthus Curved Sword;Curved Sword;43.4;70;0;0;0;230;0;0;0;0
;Heavy Carthus Curved Sword;Curved Sword;92.4;0;0;0;0;212.75;0;0;0;0
;Sharp Carthus Curved Sword;Curved Sword;22;94.5;0;0;0;212.75;0;0;0;0
;Refined Carthus Curved Sword;Curved Sword;80;80;0;0;0;207;0;0;0;0
;Simple Carthus Curved Sword;Curved Sword;40.3;65;113.4;0;0;115;132.25;0;0;0
;Crystal Carthus Curved Sword;Curved Sword;31;50;133.65;0;0;109.25;149.5;0;0;0
;Fire Carthus Curved Sword;Curved Sword;0;0;0;0;0;189.75;0;189.75;0;0
;Chaos Carthus Curved Sword;Curved Sword;37.2;60;89.1;89.1;0;115;0;149.5;0;0
;Lightning Carthus Curved Sword;Curved Sword;31;50;0;133.65;0;109.25;0;0;149.5;0
;Deep Carthus Curved Sword;Curved Sword;0;0;0;0;0;189.75;0;0;0;189.75
;Dark Carthus Curved Sword;Curved Sword;37.2;60;89.1;89.1;0;115;0;0;0;149.5
;Poison Carthus Curved Sword;Curved Sword;43.4;70;0;0;0;178.25;0;0;0;0
;Blood Carthus Curved Sword;Curved Sword;43.4;70;0;0;0;178.25;0;0;0;0
;Raw Carthus Curved Sword;Curved Sword;0;0;0;0;0;287.5;0;0;0;0
;Blessed Carthus Curved Sword;Curved Sword;34.1;55;0;105.3;0;149.5;0;0;0;0
;Hollow Carthus Curved Sword;Curved Sword;43.4;70;0;0;37.5;218.5;0;0;0;0
;Carthus Curved Greatsword;Curved Greatsword;57.4;77;0;0;0;244;0;0;0;0
;Heavy Carthus Curved Greatsword;Curved Greatsword;109.2;0;0;0;0;225.7;0;0;0;0
;Sharp Carthus Curved Greatsword;Curved Greatsword;28.6;102.9;0;0;0;225.7;0;0;0;0
;Refined Carthus Curved Greatsword;Curved Greatsword;92.8;92.8;0;0;0;219.6;0;0;0;0
;Simple Carthus Curved Greatsword;Curved Greatsword;53.3;71.5;134.4;0;0;117;134.55;0;0;0
;Crystal Carthus Curved Greatsword;Curved Greatsword;41;55;158.4;0;0;111.15;152.1;0;0;0
;Fire Carthus Curved Greatsword;Curved Greatsword;0;0;0;0;0;193.05;0;193.05;0;0
;Chaos Carthus Curved Greatsword;Curved Greatsword;49.2;66;105.6;105.6;0;117;0;152.1;0;0
;Lightning Carthus Curved Greatsword;Curved Greatsword;41;55;0;158.4;0;111.15;0;0;152.1;0
;Deep Carthus Curved Greatsword;Curved Greatsword;0;0;0;0;0;193.05;0;0;0;193.05
;Dark Carthus Curved Greatsword;Curved Greatsword;49.2;66;105.6;105.6;0;117;0;0;0;152.1
;Poison Carthus Curved Greatsword;Curved Greatsword;57.4;77;0;0;0;189.1;0;0;0;0
;Blood Carthus Curved Greatsword;Curved Greatsword;57.4;77;0;0;0;189.1;0;0;0;0
;Raw Carthus Curved Greatsword;Curved Greatsword;0;0;0;0;0;305;0;0;0;0
;Blessed Carthus Curved Greatsword;Curved Greatsword;45.1;60.5;0;124.8;0;152.1;0;0;0;0
;Hollow Carthus Curved Greatsword;Curved Greatsword;57.4;77;0;0;42;231.8;0;0;0;0
;Pontiff Knight Curved Sword;Curved Sword;43.4;68.6;0;0;0;214;0;0;0;0
;Storm Curved Sword;Curved Sword;29.4;84;0;0;0;200;0;0;0;0
;Painting Guardian's Curved Sword;Curved Sword;7;113.4;0;0;0;176;0;0;0;0
;Heavy Painting Guardian's Curved Sword;Curved Sword;115.5;0;0;0;0;162.8;0;0;0;0
;Sharp Painting Guardian's Curved Sword;Curved Sword;2.2;142.8;0;0;0;162.8;0;0;0;0
;Refined Painting Guardian's Curved Sword;Curved Sword;84.8;84.8;0;0;0;158.4;0;0;0;0
;Simple Painting Guardian's Curved Sword;Curved Sword;6.5;105.3;120.4;0;0;88;101.2;0;0;0
;Crystal Painting Guardian's Curved Sword;Curved Sword;5;81;141.9;0;0;83.6;114.4;0;0;0
;Fire Painting Guardian's Curved Sword;Curved Sword;0;0;0;0;0;145.2;0;145.2;0;0
;Chaos Painting Guardian's Curved Sword;Curved Sword;6;97.2;94.6;94.6;0;88;0;114.4;0;0
;Lightning Painting Guardian's Curved Sword;Curved Sword;5;81;0;141.9;0;83.6;0;0;114.4;0
;Deep Painting Guardian's Curved Sword;Curved Sword;0;0;0;0;0;145.2;0;0;0;145.2
;Dark Painting Guardian's Curved Sword;Curved Sword;6;97.2;94.6;94.6;0;88;0;0;0;114.4
;Poison Painting Guardian's Curved Sword;Curved Sword;7;113.4;0;0;0;136.4;0;0;0;0
;Blood Painting Guardian's Curved Sword;Curved Sword;7;113.4;0;0;0;136.4;0;0;0;0
;Raw Painting Guardian's Curved Sword;Curved Sword;0;0;0;0;0;220;0;0;0;0
;Blessed Painting Guardian's Curved Sword;Curved Sword;5.5;89.1;0;111.8;0;114.4;0;0;0;0
;Hollow Painting Guardian's Curved Sword;Curved Sword;7;113.4;0;0;37.5;167.2;0;0;0;0
;Crescent Moon Sword;Curved Sword;0;77;43.4;0;0;142;142;0;0;0
;Carthus Shotel;Curved Sword;21;81.2;0;0;0;212;0;0;0;0
;Heavy Carthus Shotel;Curved Sword;98.7;0;0;0;0;196.1;0;0;0;0
;Sharp Carthus Shotel;Curved Sword;7.7;102.9;0;0;0;196.1;0;0;0;0
;Refined Carthus Shotel;Curved Sword;73.6;73.6;0;0;0;190.8;0;0;0;0
;Simple Carthus Shotel;Curved Sword;19.5;75.4;102.2;0;0;101;116.15;0;0;0
;Crystal Carthus Shotel;Curved Sword;15;58;120.45;0;0;95.95;131.3;0;0;0
;Fire Carthus Shotel;Curved Sword;0;0;0;0;0;166.65;0;166.65;0;0
;Chaos Carthus Shotel;Curved Sword;18;69.6;80.3;80.3;0;101;0;131.3;0;0
;Lightning Carthus Shotel;Curved Sword;15;58;0;120.45;0;95.95;0;0;131.3;0
;Deep Carthus Shotel;Curved Sword;0;0;0;0;0;166.65;0;0;0;166.65
;Dark Carthus Shotel;Curved Sword;18;69.6;80.3;80.3;0;101;0;0;0;131.3
;Poison Carthus Shotel;Curved Sword;21;81.2;0;0;0;164.3;0;0;0;0
;Blood Carthus Shotel;Curved Sword;21;81.2;0;0;0;164.3;0;0;0;0
;Raw Carthus Shotel;Curved Sword;0;0;0;0;0;265;0;0;0;0
;Blessed Carthus Shotel;Curved Sword;16.5;63.8;0;94.9;0;131.3;0;0;0;0
;Hollow Carthus Shotel;Curved Sword;21;81.2;0;0;31.5;201.4;0;0;0;0
;Uchigatana;Katana;28;70;0;0;0;230;0;0;0;0
;Heavy Uchigatana;Katana;79.8;0;0;0;0;212.75;0;0;0;0
;Sharp Uchigatana;Katana;14.3;94.5;0;0;0;212.75;0;0;0;0
;Refined Uchigatana;Katana;64;64;0;0;0;207;0;0;0;0
;Simple Uchigatana;Katana;26;65;98;0;0;110;126.5;0;0;0
;Crystal Uchigatana;Katana;20;50;115.5;0;0;104.5;143;0;0;0
;Fire Uchigatana;Katana;0;0;0;0;0;181.5;0;181.5;0;0
;Chaos Uchigatana;Katana;24;60;77;77;0;110;0;143;0;0
;Lightning Uchigatana;Katana;20;50;0;115.5;0;104.5;0;0;143;0
;Deep Uchigatana;Katana;0;0;0;0;0;181.5;0;0;0;181.5
;Dark Uchigatana;Katana;24;60;77;77;0;110;0;0;0;143
;Poison Uchigatana;Katana;28;70;0;0;0;178.25;0;0;0;0
;Blood Uchigatana;Katana;28;70;0;0;0;178.25;0;0;0;0
;Raw Uchigatana;Katana;0;0;0;0;0;287.5;0;0;0;0
;Blessed Uchigatana;Katana;22;55;0;91;0;143;0;0;0;0
;Hollow Uchigatana;Katana;28;70;0;0;31.5;218.5;0;0;0;0
;Washing Pole;Katana;35;63;0;0;0;242;0;0;0;0
;Heavy Washing Pole;Katana;79.8;0;0;0;0;223.85;0;0;0;0
;Sharp Washing Pole;Katana;17.6;84;0;0;0;223.85;0;0;0;0
;Refined Washing Pole;Katana;64;64;0;0;0;217.8;0;0;0;0
;Simple Washing Pole;Katana;32.5;58.5;98;0;0;111;127.65;0;0;0
;Crystal Washing Pole;Katana;25;45;115.5;0;0;105.45;144.3;0;0;0
;Fire Washing Pole;Katana;0;0;0;0;0;183.15;0;183.15;0;0
;Chaos Washing Pole;Katana;30;54;77;77;0;111;0;144.3;0;0
;Lightning Washing Pole;Katana;25;45;0;115.5;0;105.45;0;0;144.3;0
;Deep Washing Pole;Katana;0;0;0;0;0;183.15;0;0;0;183.15
;Dark Washing Pole;Katana;30;54;77;77;0;111;0;0;0;144.3
;Poison Washing Pole;Katana;35;63;0;0;0;187.55;0;0;0;0
;Blood Washing Pole;Katana;35;63;0;0;0;187.55;0;0;0;0
;Raw Washing Pole;Katana;0;0;0;0;0;302.5;0;0;0;0
;Blessed Washing Pole;Katana;27.5;49.5;0;91;0;144.3;0;0;0;0
;Hollow Washing Pole;Katana;35;63;0;0;30;229.9;0;0;0;0
;Chaos Blade;Katana;7;170.8;0;0;0;180;0;0;0;0
;Black Blade;Katana;29.4;68.6;0;0;0;244;0;0;0;0
;Heavy Black Blade;Katana;79.8;0;0;0;0;225.7;0;0;0;0
;Sharp Black Blade;Katana;14.3;92.4;0;0;0;225.7;0;0;0;0
;Refined Black Blade;Katana;64;64;0;0;0;219.6;0;0;0;0
;Simple Black Blade;Katana;27.3;63.7;98;0;0;117;134.55;0;0;0
;Crystal Black Blade;Katana;21;49;115.5;0;0;111.15;152.1;0;0;0
;Fire Black Blade;Katana;0;0;0;0;0;193.05;0;193.05;0;0
;Chaos Black Blade;Katana;25.2;58.8;77;77;0;117;0;152.1;0;0
;Lightning Black Blade;Katana;21;49;0;115.5;0;111.15;0;0;152.1;0
;Deep Black Blade;Katana;0;0;0;0;0;193.05;0;0;0;193.05
;Dark Black Blade;Katana;25.2;58.8;77;77;0;117;0;0;0;152.1
;Poison Black Blade;Katana;29.4;68.6;0;0;0;189.1;0;0;0;0
;Blood Black Blade;Katana;29.4;68.6;0;0;0;189.1;0;0;0;0
;Raw Black Blade;Katana;0;0;0;0;0;305;0;0;0;0
;Blessed Black Blade;Katana;23.1;53.9;0;91;0;152.1;0;0;0;0
;Hollow Black Blade;Katana;29.4;68.6;0;0;33;231.8;0;0;0;0
;Bloodlust;Katana;8.4;110.6;0;0;0;184;0;0;0;0
;Darkdrift;Katana;28;57.4;0;0;0;234;0;0;0;0
;Bastard Sword;Greatsword;63;42;0;0;0;276;0;0;0;0
;Heavy Bastard Sword;Greatsword;94.5;0;0;0;0;255.3;0;0;0;0
;Sharp Bastard Sword;Greatsword;49.5;72;0;0;0;255.3;0;0;0;0
;Refined Bastard Sword;Greatsword;75.2;75.2;0;0;0;248.4;0;0;0;0
;Simple Bastard Sword;Greatsword;58.5;39;105;0;0;128;147.2;0;0;0
;Crystal Bastard Sword;Greatsword;45;30;123.75;0;0;121.6;166.4;0;0;0
;Fire Bastard Sword;Greatsword;0;0;0;0;0;211.2;0;211.2;0;0
;Chaos Bastard Sword;Greatsword;54;36;82.5;82.5;0;128;0;166.4;0;0
;Lightning Bastard Sword;Greatsword;45;30;0;123.75;0;121.6;0;0;166.4;0
;Deep Bastard Sword;Greatsword;0;0;0;0;0;211.2;0;0;0;211.2
;Dark Bastard Sword;Greatsword;54;36;82.5;82.5;0;128;0;0;0;166.4
;Poison Bastard Sword;Greatsword;63;42;0;0;0;213.9;0;0;0;0
;Blood Bastard Sword;Greatsword;63;42;0;0;0;213.9;0;0;0;0
;Raw Bastard Sword;Greatsword;0;0;0;0;0;345;0;0;0;0
;Blessed Bastard Sword;Greatsword;49.5;33;0;97.5;0;166.4;0;0;0;0
;Hollow Bastard Sword;Greatsword;63;42;0;0;28.5;262.2;0;0;0;0
;Claymore;Greatsword;56;49;0;0;0;276;0;0;0;0
;Heavy Claymore;Greatsword;84;0;0;0;0;255.3;0;0;0;0
;Sharp Claymore;Greatsword;44;84;0;0;0;255.3;0;0;0;0
;Refined Claymore;Greatsword;75.2;75.2;0;0;0;248.4;0;0;0;0
;Simple Claymore;Greatsword;52;45.5;105;0;0;128;147.2;0;0;0
;Crystal Claymore;Greatsword;40;35;123.75;0;0;121.6;166.4;0;0;0
;Fire Claymore;Greatsword;0;0;0;0;0;211.2;0;211.2;0;0
;Chaos Claymore;Greatsword;48;42;82.5;82.5;0;128;0;166.4;0;0
;Lightning Claymore;Greatsword;40;35;0;123.75;0;121.6;0;0;166.4;0
;Deep Claymore;Greatsword;0;0;0;0;0;211.2;0;0;0;211.2
;Dark Claymore;Greatsword;48;42;82.5;82.5;0;128;0;0;0;166.4
;Poison Claymore;Greatsword;56;49;0;0;0;213.9;0;0;0;0
;Blood Claymore;Greatsword;56;49;0;0;0;213.9;0;0;0;0
;Raw Claymore;Greatsword;0;0;0;0;0;345;0;0;0;0
;Blessed Claymore;Greatsword;44;38.5;0;97.5;0;166.4;0;0;0;0
;Hollow Claymore;Greatsword;56;49;0;0;30;262.2;0;0;0;0
;Zweihander;Ultra Greatsword;70;49;0;0;0;290;0;0;0;0
;Heavy Zweihander;Ultra Greatsword;105;0;0;0;0;268.25;0;0;0;0
;Sharp Zweihander;Ultra Greatsword;55;84;0;0;0;268.25;0;0;0;0
;Refined Zweihander;Ultra Greatsword;83.2;83.2;0;0;0;261;0;0;0;0
;Simple Zweihander;Ultra Greatsword;65;45.5;119;0;0;135;155.25;0;0;0
;Crystal Zweihander;Ultra Greatsword;50;35;140.25;0;0;128.25;175.5;0;0;0
;Fire Zweihander;Ultra Greatsword;0;0;0;0;0;222.75;0;222.75;0;0
;Chaos Zweihander;Ultra Greatsword;60;42;93.5;93.5;0;135;0;175.5;0;0
;Lightning Zweihander;Ultra Greatsword;50;35;0;140.25;0;128.25;0;0;175.5;0
;Deep Zweihander;Ultra Greatsword;0;0;0;0;0;222.75;0;0;0;222.75
;Dark Zweihander;Ultra Greatsword;60;42;93.5;93.5;0;135;0;0;0;175.5
;Poison Zweihander;Ultra Greatsword;70;49;0;0;0;224.75;0;0;0;0
;Blood Zweihander;Ultra Greatsword;70;49;0;0;0;224.75;0;0;0;0
;Raw Zweihander;Ultra Greatsword;0;0;0;0;0;362.5;0;0;0;0
;Blessed Zweihander;Ultra Greatsword;55;38.5;0;110.5;0;175.5;0;0;0;0
;Hollow Zweihander;Ultra Greatsword;70;49;0;0;33;275.5;0;0;0;0
;Greatsword;Ultra Greatsword;63;56;0;0;0;318;0;0;0;0
;Heavy Greatsword;Ultra Greatsword;94.5;0;0;0;0;294.15;0;0;0;0
;Sharp Greatsword;Ultra Greatsword;14.3;96;0;0;0;294.15;0;0;0;0
;Refined Greatsword;Ultra Greatsword;75.2;75.2;0;0;0;286.2;0;0;0;0
;Simple Greatsword;Ultra Greatsword;58.5;52;119;0;0;144;165.6;0;0;0
;Crystal Greatsword;Ultra Greatsword;45;40;140.25;0;0;136.8;187.2;0;0;0
;Fire Greatsword;Ultra Greatsword;0;0;0;0;0;237.6;0;237.6;0;0
;Chaos Greatsword;Ultra Greatsword;54;48;93.5;93.5;0;144;0;187.2;0;0
;Lightning Greatsword;Ultra Greatsword;45;40;0;140.25;0;136.8;0;0;187.2;0
;Deep Greatsword;Ultra Greatsword;0;0;0;0;0;237.6;0;0;0;237.6
;Dark Greatsword;Ultra Greatsword;54;48;93.5;93.5;0;144;0;0;0;187.2
;Poison Greatsword;Ultra Greatsword;63;56;0;0;0;246.45;0;0;0;0
;Blood Greatsword;Ultra Greatsword;63;56;0;0;0;246.45;0;0;0;0
;Raw Greatsword;Ultra Greatsword;0;0;0;0;0;397.5;0;0;0;0
;Blessed Greatsword;Ultra Greatsword;49.5;44;0;110.5;0;187.2;0;0;0;0
;Hollow Greatsword;Ultra Greatsword;63;56;0;0;34.5;302.1;0;0;0;0
;Astora Greatsword;Ultra Greatsword;63;71.4;0;0;0;264;0;0;0;0
;Heavy Astora Greatsword;Ultra Greatsword;109.2;0;0;0;0;244.2;0;0;0;0
;Sharp Astora Greatsword;Ultra Greatsword;31.9;94.5;0;0;0;244.2;0;0;0;0
;Refined Astora Greatsword;Ultra Greatsword;92.8;92.8;0;0;0;237.6;0;0;0;0
;Simple Astora Greatsword;Ultra Greatsword;58.5;66.3;134.4;0;0;132;151.8;0;0;0
;Crystal Astora Greatsword;Ultra Greatsword;45;51;158.4;0;0;125.4;171.6;0;0;0
;Fire Astora Greatsword;Ultra Greatsword;0;0;0;0;0;217.8;0;217.8;0;0
;Chaos Astora Greatsword;Ultra Greatsword;54;61.2;105.6;105.6;0;132;0;171.6;0;0
;Lightning Astora Greatsword;Ultra Greatsword;45;51;0;158.4;0;125.4;0;0;171.6;0
;Deep Astora Greatsword;Ultra Greatsword;0;0;0;0;0;217.8;0;0;0;217.8
;Dark Astora Greatsword;Ultra Greatsword;54;61.2;105.6;105.6;0;132;0;0;0;171.6
;Poison Astora Greatsword;Ultra Greatsword;63;71.4;0;0;0;204.6;0;0;0;0
;Blood Astora Greatsword;Ultra Greatsword;63;71.4;0;0;0;204.6;0;0;0;0
;Raw Astora Greatsword;Ultra Greatsword;0;0;0;0;0;330;0;0;0;0
;Blessed Astora Greatsword;Ultra Greatsword;49.5;56.1;0;124.8;0;171.6;0;0;0;0
;Hollow Astora Greatsword;Ultra Greatsword;63;71.4;0;0;39;250.8;0;0;0;0
;Murakumo;Curved Greatsword;58.8;74.2;0;0;0;250;0;0;0;0
;Heavy Murakumo;Curved Greatsword;109.2;0;0;0;0;231.25;0;0;0;0
;Sharp Murakumo;Curved Greatsword;23.1;111.3;0;0;0;231.25;0;0;0;0
;Refined Murakumo;Curved Greatsword;91.2;91.2;0;0;0;225;0;0;0;0
;Simple Murakumo;Curved Greatsword;54.6;68.9;133;0;0;120;138;0;0;0
;Crystal Murakumo;Curved Greatsword;42;53;156.75;0;0;114;156;0;0;0
;Fire Murakumo;Curved Greatsword;0;0;0;0;0;198;0;198;0;0
;Chaos Murakumo;Curved Greatsword;50.4;63.6;104.5;104.5;0;120;0;156;0;0
;Lightning Murakumo;Curved Greatsword;42;53;0;156.75;0;114;0;0;156;0
;Deep Murakumo;Curved Greatsword;0;0;0;0;0;198;0;0;0;198
;Dark Murakumo;Curved Greatsword;50.4;63.6;104.5;104.5;0;120;0;0;0;156
;Poison Murakumo;Curved Greatsword;58.8;74.2;0;0;0;193.75;0;0;0;0
;Blood Murakumo;Curved Greatsword;58.8;74.2;0;0;0;193.75;0;0;0;0
;Raw Murakumo;Curved Greatsword;0;0;0;0;0;312.5;0;0;0;0
;Blessed Murakumo;Curved Greatsword;46.2;58.3;0;123.5;0;156;0;0;0;0
;Hollow Murakumo;Curved Greatsword;58.8;74.2;0;0;42;237.5;0;0;0;0
;Lothric Knight Greatsword;Ultra Greatsword;43.4;63;0;0;0;262;0;0;174;0
;Heavy Lothric Knight Greatsword;Ultra Greatsword;86.1;0;0;0;0;242.35;0;0;174;0
;Sharp Lothric Knight Greatsword;Ultra Greatsword;22;84;0;0;0;242.35;0;0;174;0
;Refined Lothric Knight Greatsword;Ultra Greatsword;76.8;76.8;0;0;0;235.8;0;0;174;0
;Simple Lothric Knight Greatsword;Ultra Greatsword;40.3;58.5;106.4;0;0;126;144.9;0;87;0
;Crystal Lothric Knight Greatsword;Ultra Greatsword;31;45;125.4;0;0;119.7;163.8;0;87;0
;Fire Lothric Knight Greatsword;Ultra Greatsword;0;0;0;0;0;207.9;0;207.9;87;0
;Chaos Lothric Knight Greatsword;Ultra Greatsword;37.2;54;83.6;83.6;0;126;0;163.8;87;0
;Lightning Lothric Knight Greatsword;Ultra Greatsword;31;45;0;125.4;0;119.7;0;0;215.8;0
;Deep Lothric Knight Greatsword;Ultra Greatsword;0;0;0;0;0;207.9;0;0;87;207.9
;Dark Lothric Knight Greatsword;Ultra Greatsword;37.2;54;83.6;83.6;0;126;0;0;87;163.8
;Poison Lothric Knight Greatsword;Ultra Greatsword;43.4;63;0;0;0;203.05;0;0;134.85;0
;Blood Lothric Knight Greatsword;Ultra Greatsword;43.4;63;0;0;0;203.05;0;0;134.85;0
;Raw Lothric Knight Greatsword;Ultra Greatsword;0;0;0;0;0;327.5;0;0;174;0
;Blessed Lothric Knight Greatsword;Ultra Greatsword;34.1;49.5;0;98.8;0;163.8;0;0;113.1;0
;Hollow Lothric Knight Greatsword;Ultra Greatsword;43.4;63;0;0;33;248.9;0;0;165.3;0
;Black Knight Greatsword;Ultra Greatsword;85.4;35;0;0;0;322;0;0;0;0
;Flamberge;Greatsword;35;29.4;0;0;0;316;0;0;0;0
;Heavy Flamberge;Greatsword;73.5;0;0;0;0;292.3;0;0;0;0
;Sharp Flamberge;Greatsword;27.5;50.4;0;0;0;292.3;0;0;0;0
;Refined Flamberge;Greatsword;52.8;52.8;0;0;0;284.4;0;0;0;0
;Simple Flamberge;Greatsword;32.5;27.3;64.4;0;0;128;147.2;0;0;0
;Crystal Flamberge;Greatsword;25;21;75.9;0;0;121.6;166.4;0;0;0
;Fire Flamberge;Greatsword;0;0;0;0;0;211.2;0;211.2;0;0
;Chaos Flamberge;Greatsword;30;25.2;50.6;50.6;0;128;0;166.4;0;0
;Lightning Flamberge;Greatsword;25;21;0;75.9;0;121.6;0;0;166.4;0
;Deep Flamberge;Greatsword;0;0;0;0;0;211.2;0;0;0;211.2
;Dark Flamberge;Greatsword;30;25.2;50.6;50.6;0;128;0;0;0;166.4
;Poison Flamberge;Greatsword;35;29.4;0;0;0;244.9;0;0;0;0
;Blood Flamberge;Greatsword;35;29.4;0;0;0;244.9;0;0;0;0
;Raw Flamberge;Greatsword;0;0;0;0;0;395;0;0;0;0
;Blessed Flamberge;Greatsword;27.5;23.1;0;59.8;0;166.4;0;0;0;0
;Hollow Flamberge;Greatsword;35;29.4;0;0;18;300.2;0;0;0;0
;Exile Greatsword;Curved Greatsword;56;63;0;0;0;292;0;0;0;0
;Heavy Exile Greatsword;Curved Greatsword;105;0;0;0;0;270.1;0;0;0;0
;Sharp Exile Greatsword;Curved Greatsword;44;108;0;0;0;270.1;0;0;0;0
;Refined Exile Greatsword;Curved Greatsword;83.2;83.2;0;0;0;262.8;0;0;0;0
;Simple Exile Greatsword;Curved Greatsword;52;58.5;119;0;0;131;150.65;0;0;0
;Crystal Exile Greatsword;Curved Greatsword;40;45;140.25;0;0;124.45;170.3;0;0;0
;Fire Exile Greatsword;Curved Greatsword;0;0;0;0;0;216.15;0;216.15;0;0
;Chaos Exile Greatsword;Curved Greatsword;48;54;93.5;93.5;0;131;0;170.3;0;0
;Lightning Exile Greatsword;Curved Greatsword;40;45;0;140.25;0;124.45;0;0;170.3;0
;Deep Exile Greatsword;Curved Greatsword;0;0;0;0;0;216.15;0;0;0;216.15
;Dark Exile Greatsword;Curved Greatsword;48;54;93.5;93.5;0;131;0;0;0;170.3
;Poison Exile Greatsword;Curved Greatsword;56;63;0;0;0;226.3;0;0;0;0
;Blood Exile Greatsword;Curved Greatsword;56;63;0;0;0;226.3;0;0;0;0
;Raw Exile Greatsword;Curved Greatsword;0;0;0;0;0;365;0;0;0;0
;Blessed Exile Greatsword;Curved Greatsword;44;49.5;0;110.5;0;170.3;0;0;0;0
;Hollow Exile Greatsword;Curved Greatsword;56;63;0;0;34.5;277.4;0;0;0;0
;Greatsword of Judgement;Greatsword;50.4;49;78.4;0;0;200;158;0;0;0
;Profaned Greatsword;Ultra Greatsword;78.4;63;0;0;0;294;0;0;0;0
;Cathedral Knight Greatsword;Ultra Greatsword;78.4;28;0;0;0;298;0;0;0;0
;Heavy Cathedral Knight Greatsword;Ultra Greatsword;106.4;0;0;0;0;275.65;0;0;0;0
;Sharp Cathedral Knight Greatsword;Ultra Greatsword;20.9;105.6;0;0;0;275.65;0;0;0;0
;Refined Cathedral Knight Greatsword;Ultra Greatsword;76.8;76.8;0;0;0;268.2;0;0;0;0
;Simple Cathedral Knight Greatsword;Ultra Greatsword;72.8;26;106.4;0;0;134;154.1;0;0;0
;Crystal Cathedral Knight Greatsword;Ultra Greatsword;56;20;125.4;0;0;127.3;174.2;0;0;0
;Fire Cathedral Knight Greatsword;Ultra Greatsword;0;0;0;0;0;221.1;0;221.1;0;0
;Chaos Cathedral Knight Greatsword;Ultra Greatsword;67.2;24;83.6;83.6;0;134;0;174.2;0;0
;Lightning Cathedral Knight Greatsword;Ultra Greatsword;56;20;0;125.4;0;127.3;0;0;174.2;0
;Deep Cathedral Knight Greatsword;Ultra Greatsword;0;0;0;0;0;221.1;0;0;0;221.1
;Dark Cathedral Knight Greatsword;Ultra Greatsword;67.2;24;83.6;83.6;0;134;0;0;0;174.2
;Poison Cathedral Knight Greatsword;Ultra Greatsword;78.4;28;0;0;0;230.95;0;0;0;0
;Blood Cathedral Knight Greatsword;Ultra Greatsword;78.4;28;0;0;0;230.95;0;0;0;0
;Raw Cathedral Knight Greatsword;Ultra Greatsword;0;0;0;0;0;372.5;0;0;0;0
;Blessed Cathedral Knight Greatsword;Ultra Greatsword;61.6;22;0;98.8;0;174.2;0;0;0;0
;Hollow Cathedral Knight Greatsword;Ultra Greatsword;78.4;28;0;0;28.5;283.1;0;0;0;0
;Farron Greatsword;Ultra Greatsword (Unique);57.4;102.2;0;0;0;228;0;0;0;0
;Yhorm's Great Machete;Greataxe;109.2;0;0;0;0;338;0;0;0;0
;Dark Sword;Straight Sword;78.4;42;0;0;0;220;0;0;0;0
;Heavy Dark Sword;Straight Sword;117.6;0;0;0;0;203;0;0;0;0
;Sharp Dark Sword;Straight Sword;61.6;72;0;0;0;203;0;0;0;0
;Refined Dark Sword;Straight Sword;84.8;84.8;0;0;0;198;0;0;0;0
